Fridge ID,City,Location,Year Founded,Maturity,Industry,IndustryNew,Company Type,Company Type*,Employee Type,Office Size,Innercompany Location,Lead Source,Fridge Type,Service Fee,Subsidy,Revenue,Registered Users,Active users (weekly average 2019 per terminal),Basket size/User/Week,Male/Female Ratio,# Newsletter subscriptions,NL/User,# Fingerprints,FP/User,# Restaurants nearby,Avg. NPS Score
30037,Hamburg,Central,1988,mature,Hotel,Real Estate and Facility Management,Hotel,Corporate,White Collar,300,4 OG,Paid Social,Single Fridge,249 Û,0.00 Û,Û 47.02,159,23.92,9.83,0.75,64,40%,36,23%,60,
10013,Berlin,Central,2010,immature,Service,"Media, Entertainment, Creative Agencies & Advertisement",Startup,Growing Start-Up,White Collar,165,Kitchen,Outbound,Double Fridge,0 Û,0.00 Û,Û 45.95,168,36.28,6.33,1.07,26,15%,55,33%,60,5
20023,Hamburg,Central,2010,immature,Coworking,Coworking,Coworking,Mature Start-Up,Mixed,800,3 OG,Internal Referral,Double Fridge,499 Û,0.00 Û,Û 45.47,183,37.6,6.05,2.1,34,19%,28,15%,60,
30054,Hamburg,Central,1996,mature,Service,"IT Services, Outsourcing & Engineering Consulting",Corporate,Corporate,White Collar,470,Common Room,Direct Traffic,Double Fridge,499 Û,0.00 Û,Û 44.40,133,38,5.84,1.46,36,27%,6,5%,51,
30001,MÃ¼nchen,Fringe,1867,mature,Service,"Manufacturing, Production & Energy",Grownup,Corporate,White Collar,540,Production area,Native,Single Fridge,499 Û,0.00 Û,Û 44.25,53,30.42,7.27,3.08,15,28%,18,34%,4,
30075,Ruhrgebiet,Fringe,1916,mature,Service,Real Estate and Facility Management,Grownup,SME,White Collar,137,First floor,Paid Search,Single Fridge,799 Û,5.00 Û,Û 44.20,57,21.4,10.33,0.73,18,32%,13,23%,3,
5718,Frankfurt,Central,2016,immature,Finance,Real Estate and Facility Management,Corporate,Mature Start-Up,Suits,280,Kitchen,Internal Referral,Double Fridge,499 Û,0.00 Û,Û 43.45,144,35.77,6.07,1.03,60,42%,34,24%,60,5.8
30070,Hamburg,Central,2010,immature,Health Care,"B2B Software, Data & Equipment",Consulting,Growing Start-Up,Customer Care,180,4. OG CafeÌteria,Paid Social,Single Fridge,499 Û,0.00 Û,Û 42.78,72,29.67,7.21,0.38,25,35%,7,10%,34,
30023,Berlin,Central,1965,mature,Education,Trad. Offline Services,Education,Corporate,Mixed,300,Cafeteria,Organic Search,Single Fridge,499 Û,0.00 Û,Û 42.40,151,25.07,8.46,0.53,20,13%,16,11%,36,
5659,KÃ¶ln,Fringe,1990,mature,Consulting,"Media, Entertainment, Creative Agencies & Advertisement",Consulting,SME,White Collar,120,Entrance,Inbound,Double Fridge,499 Û,Article Subsidy,Û 41.35,666,28,7.38,1,196,29%,228,34%,11,7.1
30062,Hamburg,Fringe,2012,immature,Product,"IT Services, Outsourcing & Engineering Consulting",Corporate,Growing Start-Up,White Collar,180,Common Room,Direct Traffic,Single Fridge,0 Û,0.00 Û,Û 41.30,50,15.33,13.47,2.85,10,20%,9,18%,1,
30064,Hamburg,Fringe,2002,mature,Digital,"IT Services, Outsourcing & Engineering Consulting",Corporate,SME,Mixed,250,3 OG,Direct Traffic,Single Fridge,450 Û,0.00 Û,Û 40.88,98,31,6.59,2.16,26,27%,,0%,11,
30013,KÃ¶ln,Central,2014,immature,service,"B2C Software, Apps and Digital Services",Startup,Growing Start-Up,White Collar,230,Kitchen,Outbound,Single Fridge,,0.00 Û,Û 39.99,116,29.88,6.69,1.07,32,28%,16,14%,60,
30044,Frankfurt,Central,1990,mature,Consulting,"Media, Entertainment, Creative Agencies & Advertisement",Consulting,Corporate,White Collar,350,Lounge,Inbound,Single Fridge,499 Û,0.00 Û,Û 39.65,186,35.45,5.59,1.35,66,35%,36,19%,60,
10038,DÃ¼sseldorf,Central,1996,mature,Digital,Trad. Offline Services,Corporate,SME,Mixed,150,Kitchen,Direct Traffic,Double Fridge,,0.00 Û,Û 39.63,82,23.96,8.27,2.04,28,34%,13,16%,23,
30052,KÃ¶ln,Fringe,1969,mature,Logistics,"Transport, Logistics & Delivery Services",Logistics,Corporate,Mixed,270,Common Room,Outbound,Single Fridge,0 Û,0.00 Û,Û 39.54,3,31.5,6.28,0.5,0,0%,,0%,7,
5636,Berlin,Central,1980,mature,Research/Education,"Public Sector, Research & Education",Research/Education,Corporate,Academia,450,Kitchen,Outbound,Double Fridge,499 Û,0.00 Û,Û 37.28,220,36.79,5.07,2.24,38,17%,37,17%,60,7.4
5696,Berlin,Central,2012,immature,Tech,E-Commerce,Tech,Mature Start-Up,White Collar,300,Kitchen,Inbound,Double Fridge,499 Û,5.00 Û,Û 37.14,239,32.15,5.78,1.32,48,20%,87,36%,60,6.6
10033,KÃ¶ln,Central,2002,mature,Service,"Business Consulting, Law, Tax & Auditing",Corporate,SME,Suits,200,Entrance,Outbound,Double Fridge,0 Û,0.00 Û,Û 37.07,164,32.1,5.77,1.98,29,18%,1,1%,60,
5602,Hamburg,Central,1998,mature,Entertainment,"Media, Entertainment, Creative Agencies & Advertisement",Entertainment,SME,Mixed,194,Entrance,Outbound,Double Fridge,499 Û,1.00 Û,Û 35.00,132,28.18,6.21,0.65,39,30%,47,36%,60,7.3
10007,Hamburg,Fringe,2011,immature,Digital,"B2C Software, Apps and Digital Services",Startup,Mature Start-Up,White Collar,260,Kitchen,Outbound,Double Fridge,499 Û,0.00 Û,Û 32.90,190,23.92,6.88,1.35,38,20%,69,36%,60,8.4
30060,MÃ¼nchen,Central,1875,mature,Digital,"Media, Entertainment, Creative Agencies & Advertisement",Grownup,Corporate,White Collar,400,Cafeteria EG,Outbound,Single Fridge,499 Û,0.00 Û,Û 31.79,81,17.63,9.02,0.42,24,30%,6,7%,23,
30039,KÃ¶ln,Central,2001,mature,Media,"Media, Entertainment, Creative Agencies & Advertisement",Grownup,SME,White Collar,60,Loft 13,Organic Search,Single Fridge,499 Û,0.00 Û,Û 31.32,44,19.4,8.07,0.91,15,34%,24,55%,5,
10030,DÃ¼sseldorf,Central,1901,mature,Product,Trad. Consumer Goods & Retailer,Corporate,Corporate,White Collar,1200,Common Room,Inbound,Double Fridge,700 Û,0.00 Û,Û 30.98,412,22.04,7.03,0.36,113,27%,73,18%,60,8.7
5712,Hamburg,Fringe,1882,mature,Product,Trad. Consumer Goods & Retailer,Corporate,SME,White Collar,250,Lounge,Outbound,Double Fridge,499 Û,0.00 Û,Û 30.88,131,28.15,5.49,0.47,27,21%,25,19%,8,7.7
5704,MÃ¼nchen,Fringe,1995,mature,Broadcasting,E-Commerce,Broadcasting,Corporate,Mixed,1000,Hallway,Inbound,Double Fridge,499 Û,0.00 Û,Û 30.67,,30,5.11,,,,,,0,
30020,DÃ¼sseldorf,Central,2013,immature,Coworking,Real Estate and Facility Management,Coworking,Mature Start-Up,White Collar,700,Entrance,Paid search,Single Fridge,499 Û,0.00 Û,Û 30.43,94,19.79,7.69,1.29,25,27%,10,11%,20,
5626,Berlin,Central,1965,mature,Product,Real Estate and Facility Management,Corporate,SME,White Collar,220,Kitchen,Inbound,Double Fridge,499 Û,0.00 Û,Û 27.85,111,24.08,5.78,0.98,36,32%,29,26%,53,6.9
5691,Frankfurt,Central,1862,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",Corporate,Corporate,Suits,628,Entrance,Inbound,Double Fridge,499 Û,0.00 Û,Û 26.23,248,28.54,4.6,1.3,52,21%,46,19%,60,
30021,Hamburg,Central,1984,mature,Real Estate,"Banking, Finance, Investment, Insurance & Payment",Grownup,SME,Suits,100,Kitchen,Organic Search,Single Fridge,249 Û,0.00 Û,Û 22.38,48,15.86,7.06,0.78,13,27%,2,4%,60,
30024,MÃ¼nchen,Central,2010,immature,Digital,Trad. Offline Services,Startup,Growing Start-Up,Mixed,100,Entrance,Paid Social,Single Fridge,499 Û,0.00 Û,Û 22.14,54,16.38,6.76,0.74,25,46%,10,19%,14,
5631,Berlin,Central,1949,mature,Governmental,"Public Sector, Research & Education",Governmental,SME,Beamte,200,Kitchen,Inbound,Double Fridge,499 Û,0.00 Û,Û 21.78,138,23.69,4.6,0.48,41,30%,21,15%,56,
30053,MÃ¼nchen,Central,1982,mature,Digital,"B2B Software, Data & Equipment",Corporate,SME,Mixed,250,Kitchen,Direct Traffic,Single Fridge,249 Û,0.00 Û,Û 21.57,68,23.67,4.56,1.27,10,15%,6,9%,9,
10032,Frankfurt,Central,1856,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",Grownup,SME,White Collar,190,Kitchen,Outbound,Double Fridge,0 Û,0.00 Û,Û 20.12,45,13.87,7.25,3.5,9,20%,14,31%,60,
5672,Berlin,Fringe,2001,mature,Hotel,"Public Sector, Research & Education",Hotel,SME,White Collar,230,Common Room,Direct Traffic,Double Fridge,0 Û,0.00 Û,Û 18.71,46,12.03,7.78,0.59,13,28%,2,4%,15,
30040,Berlin,Central,2017,immature,Coworking,Coworking,Coworking,Mature Start-Up,Mixed,500,OG Kitchen,Internal Referral,Single Fridge,,0.00 Û,Û 16.97,30,11.1,7.64,1.73,4,13%,6,20%,31,
10015,MÃ¼nchen,Central,2011,immature,Service,"Transport, Logistics & Delivery Services",Startup,Growing Start-Up,White Collar,100,Kitchen,Inbound,Double Fridge,499 Û,0.00 Û,Û 15.19,100,12.38,6.13,1.33,25,25%,39,39%,60,
30006,Berlin,Central,1971,mature,Law,"Business Consulting, Law, Tax & Auditing",Grownup,SME,Suits,170,Cafeteria,Paid Social,Double Fridge,499 Û,0.00 Û,Û 10.61,26,5.13,10.35,0.37,13,50%,1,4%,60,
10020,KÃ¶ln,Central,1924,mature,Insurance,"Banking, Finance, Investment, Insurance & Payment",Grownup,Corporate,White Collar,300,Kitchen,Paid Social,Double Fridge,0 Û,0.00 Û,,173,55.04,7.33,0.84,62,36%,62,36%,4,
